wiek,płeć,lokalizacja,rodzaj_uslugi,czas_subskrypcji,czas_na_platformie,liczba_reklamacji,srednia_transakcji,srednie_wydatki,zalegle_platnosci,rabaty,porzucenie
39.0,0.0,3.0,1.0,,90.0,,6.0,459.0,3.0,10.0,0
30.0,0.0,1.0,3.0,3.0,39.0,1.0,,325.0,1.0,15.0,0
26.0,,1.0,,22.0,,2.0,7.0,,0.0,,1
,1.0,3.0,2.0,11.0,86.0,3.0,12.0,210.0,,17.0,0
,0.0,2.0,,3.0,26.0,,,,,18.0,0
28.0,0.0,2.0,1.0,8.0,18.0,2.0,13.0,253.0,1.0,10.0,0
,1.0,2.0,3.0,6.0,25.0,3.0,6.0,222.0,,,0
44.0,1.0,,1.0,3.0,80.0,3.0,6.0,465.0,3.0,5.0,1
37.0,0.0,2.0,2.0,,41.0,3.0,12.0,220.0,1.0,16.0,1
21.0,,3.0,2.0,2.0,84.0,4.0,18.0,138.0,2.0,,1
27.0,1.0,1.0,2.0,4.0,,0.0,11.0,,2.0,15.0,0
61.0,,,3.0,10.0,77.0,,,201.0,1.0,,1
,0.0,2.0,2.0,8.0,,2.0,5.0,266.0,0.0,9.0,0
40.0,0.0,1.0,1.0,,,0.0,,,,13.0,0
40.0,1.0,2.0,3.0,13.0,67.0,4.0,15.0,404.0,,10.0,1
21.0,0.0,1.0,3.0,21.0,51.0,1.0,,466.0,1.0,12.0,1
31.0,,3.0,,18.0,,4.0,8.0,,2.0,14.0,0
50.0,1.0,2.0,,2.0,47.0,0.0,10.0,418.0,,12.0,0
63.0,0.0,1.0,3.0,8.0,90.0,1.0,16.0,485.0,2.0,14.0,0
60.0,1.0,3.0,2.0,1.0,41.0,0.0,16.0,457.0,,8.0,0
26.0,0.0,1.0,1.0,2.0,,1.0,17.0,392.0,1.0,7.0,0
,1.0,3.0,3.0,19.0,48.0,0.0,,197.0,3.0,,1
29.0,,2.0,2.0,19.0,30.0,,6.0,,1.0,18.0,1
35.0,,2.0,2.0,23.0,54.0,3.0,,413.0,0.0,16.0,1
,,2.0,1.0,12.0,55.0,,11.0,,1.0,5.0,1
35.0,0.0,3.0,3.0,22.0,24.0,4.0,16.0,322.0,,16.0,1
25.0,0.0,2.0,2.0,12.0,76.0,,10.0,167.0,0.0,12.0,0
43.0,0.0,3.0,,7.0,94.0,0.0,6.0,244.0,1.0,19.0,1
34.0,1.0,1.0,1.0,,,0.0,12.0,335.0,0.0,,0
20.0,0.0,2.0,3.0,2.0,99.0,2.0,14.0,499.0,2.0,,0
39.0,,3.0,1.0,20.0,77.0,2.0,9.0,,1.0,15.0,0
53.0,0.0,,2.0,16.0,,4.0,,,2.0,,0
55.0,1.0,3.0,3.0,17.0,73.0,2.0,,264.0,0.0,7.0,0
18.0,0.0,3.0,3.0,11.0,20.0,1.0,5.0,,,8.0,0
,0.0,1.0,,11.0,,1.0,8.0,,3.0,,0
23.0,,3.0,2.0,11.0,,,13.0,333.0,0.0,5.0,0
44.0,1.0,,3.0,14.0,97.0,4.0,,440.0,3.0,6.0,1
32.0,0.0,2.0,3.0,15.0,54.0,0.0,19.0,108.0,3.0,11.0,0
40.0,0.0,,,21.0,71.0,0.0,16.0,376.0,,7.0,1
43.0,1.0,,2.0,,11.0,0.0,,,3.0,10.0,1
62.0,1.0,2.0,,4.0,,,15.0,,2.0,12.0,0
,,1.0,2.0,6.0,92.0,,,391.0,3.0,5.0,1
40.0,1.0,3.0,3.0,7.0,48.0,1.0,16.0,253.0,3.0,19.0,1
,1.0,2.0,3.0,19.0,34.0,,11.0,414.0,1.0,10.0,1
22.0,1.0,1.0,3.0,1.0,50.0,0.0,18.0,237.0,2.0,9.0,0
28.0,1.0,1.0,2.0,5.0,23.0,1.0,,445.0,3.0,5.0,0
,0.0,1.0,3.0,,62.0,3.0,,344.0,1.0,10.0,0
,,2.0,2.0,13.0,85.0,2.0,15.0,365.0,0.0,14.0,1
25.0,0.0,1.0,,15.0,63.0,4.0,12.0,231.0,2.0,19.0,1
,,2.0,3.0,,,,13.0,,2.0,12.0,1
,0.0,,2.0,11.0,70.0,1.0,14.0,352.0,3.0,6.0,1
58.0,1.0,2.0,2.0,15.0,,1.0,13.0,,3.0,6.0,1
43.0,0.0,1.0,2.0,8.0,,1.0,10.0,,2.0,8.0,1
36.0,1.0,2.0,2.0,,17.0,2.0,9.0,199.0,0.0,16.0,0
40.0,1.0,,,21.0,26.0,2.0,9.0,172.0,0.0,18.0,0
36.0,,2.0,3.0,,36.0,3.0,11.0,182.0,0.0,,0
23.0,0.0,1.0,2.0,8.0,21.0,0.0,,413.0,2.0,18.0,0
50.0,1.0,3.0,,20.0,,0.0,19.0,365.0,1.0,10.0,0
,1.0,2.0,2.0,17.0,76.0,0.0,11.0,328.0,2.0,18.0,0
23.0,,2.0,2.0,22.0,76.0,2.0,9.0,,3.0,9.0,1
46.0,1.0,2.0,,23.0,47.0,,6.0,,3.0,8.0,0
45.0,1.0,2.0,,15.0,11.0,0.0,16.0,391.0,0.0,,1
56.0,,1.0,3.0,3.0,47.0,4.0,6.0,341.0,,,1
33.0,,3.0,2.0,,85.0,,14.0,356.0,,10.0,0
36.0,,2.0,1.0,17.0,97.0,2.0,10.0,208.0,,15.0,0
,0.0,,2.0,23.0,93.0,4.0,,483.0,,9.0,0
26.0,1.0,2.0,2.0,8.0,,,19.0,289.0,,13.0,1
,1.0,3.0,2.0,11.0,45.0,1.0,,185.0,3.0,18.0,1
49.0,0.0,2.0,,,77.0,,18.0,438.0,,16.0,0
55.0,0.0,2.0,3.0,17.0,,4.0,11.0,192.0,2.0,14.0,0
29.0,0.0,3.0,2.0,,12.0,2.0,8.0,171.0,0.0,15.0,0
22.0,0.0,3.0,,15.0,64.0,3.0,9.0,384.0,1.0,,0
35.0,1.0,1.0,1.0,12.0,12.0,4.0,5.0,396.0,2.0,15.0,0
51.0,1.0,2.0,2.0,11.0,46.0,,17.0,177.0,2.0,13.0,0
26.0,,2.0,,6.0,,1.0,16.0,305.0,1.0,15.0,1
46.0,0.0,1.0,2.0,6.0,40.0,4.0,8.0,453.0,1.0,10.0,1
,0.0,3.0,3.0,3.0,66.0,,13.0,312.0,,5.0,0
24.0,1.0,2.0,1.0,,30.0,1.0,11.0,132.0,2.0,,0
43.0,1.0,,3.0,22.0,58.0,2.0,9.0,419.0,1.0,,1
61.0,1.0,,1.0,5.0,18.0,2.0,8.0,465.0,0.0,12.0,0
,1.0,,2.0,7.0,,,8.0,101.0,0.0,11.0,1
19.0,,3.0,3.0,13.0,38.0,1.0,18.0,385.0,0.0,5.0,1
29.0,,3.0,,,97.0,0.0,14.0,,,12.0,0
,,2.0,3.0,13.0,14.0,0.0,17.0,227.0,1.0,14.0,1
58.0,,,3.0,,,0.0,7.0,301.0,,12.0,0
,0.0,2.0,2.0,6.0,37.0,,8.0,386.0,1.0,7.0,0
,0.0,2.0,2.0,8.0,,3.0,16.0,170.0,3.0,7.0,0
34.0,0.0,3.0,1.0,8.0,26.0,,16.0,349.0,0.0,16.0,1
,0.0,2.0,,22.0,39.0,4.0,18.0,450.0,1.0,,1
40.0,1.0,3.0,1.0,21.0,79.0,1.0,14.0,107.0,0.0,18.0,1
24.0,0.0,2.0,2.0,,87.0,4.0,18.0,488.0,1.0,13.0,0
42.0,,,,,56.0,,13.0,360.0,0.0,18.0,1
34.0,0.0,,2.0,21.0,15.0,3.0,11.0,,0.0,8.0,0
56.0,0.0,3.0,1.0,21.0,71.0,2.0,6.0,,3.0,19.0,0
44.0,0.0,1.0,3.0,9.0,98.0,2.0,15.0,233.0,3.0,,0
56.0,1.0,2.0,1.0,6.0,,,16.0,303.0,0.0,19.0,0
46.0,0.0,3.0,,,84.0,2.0,,212.0,,6.0,1
34.0,,,,4.0,64.0,0.0,17.0,313.0,3.0,17.0,0
35.0,0.0,2.0,1.0,3.0,41.0,1.0,16.0,,3.0,9.0,0
44.0,,,,11.0,,0.0,12.0,210.0,1.0,,1
40.0,0.0,3.0,2.0,1.0,37.0,1.0,,383.0,2.0,14.0,0
51.0,1.0,,1.0,,,0.0,19.0,331.0,2.0,,0
55.0,1.0,,3.0,12.0,27.0,4.0,9.0,189.0,0.0,19.0,0
57.0,1.0,1.0,,8.0,18.0,4.0,5.0,147.0,,9.0,0
37.0,,1.0,,16.0,,3.0,,479.0,1.0,10.0,1
,,3.0,,8.0,54.0,1.0,7.0,441.0,0.0,7.0,0
64.0,1.0,3.0,3.0,22.0,,4.0,13.0,,2.0,5.0,0
28.0,0.0,2.0,1.0,17.0,37.0,3.0,19.0,359.0,1.0,16.0,1
26.0,0.0,1.0,2.0,21.0,99.0,3.0,15.0,292.0,2.0,15.0,0
39.0,0.0,3.0,3.0,23.0,,1.0,13.0,376.0,1.0,10.0,1
40.0,1.0,2.0,1.0,20.0,69.0,3.0,16.0,258.0,3.0,,1
18.0,1.0,,3.0,,79.0,0.0,15.0,262.0,,18.0,1
51.0,0.0,3.0,,7.0,79.0,4.0,11.0,,2.0,18.0,0
44.0,1.0,1.0,3.0,,27.0,0.0,12.0,,3.0,,0
20.0,,,2.0,8.0,62.0,3.0,6.0,201.0,2.0,11.0,0
27.0,1.0,3.0,3.0,12.0,80.0,1.0,7.0,110.0,2.0,14.0,0
40.0,0.0,3.0,3.0,,84.0,3.0,,459.0,1.0,14.0,0
58.0,1.0,1.0,3.0,23.0,48.0,2.0,13.0,166.0,0.0,6.0,0
24.0,,1.0,,7.0,38.0,,15.0,181.0,0.0,,0
53.0,,3.0,1.0,16.0,,3.0,11.0,492.0,,10.0,0
54.0,1.0,2.0,1.0,,64.0,,18.0,152.0,,8.0,0
32.0,1.0,2.0,2.0,,55.0,1.0,19.0,366.0,0.0,,1
59.0,,1.0,2.0,4.0,86.0,1.0,10.0,,1.0,,1
37.0,0.0,3.0,3.0,,22.0,2.0,16.0,272.0,2.0,15.0,1
57.0,0.0,1.0,2.0,22.0,63.0,4.0,,,,15.0,0
53.0,1.0,,3.0,2.0,76.0,3.0,6.0,291.0,2.0,11.0,0
23.0,1.0,,1.0,21.0,,3.0,7.0,380.0,0.0,,1
23.0,1.0,2.0,,,,1.0,13.0,322.0,1.0,19.0,0
47.0,0.0,1.0,,,70.0,0.0,,211.0,,11.0,1
39.0,0.0,2.0,2.0,21.0,,0.0,,202.0,,5.0,0
37.0,0.0,3.0,3.0,7.0,,0.0,8.0,,2.0,15.0,0
20.0,1.0,,1.0,8.0,51.0,,,132.0,0.0,,0
56.0,0.0,,1.0,15.0,76.0,1.0,,243.0,0.0,13.0,1
22.0,1.0,,2.0,19.0,,3.0,,,0.0,15.0,0
44.0,0.0,,3.0,7.0,64.0,3.0,5.0,465.0,2.0,6.0,0
64.0,0.0,3.0,3.0,22.0,,0.0,5.0,,3.0,17.0,0
58.0,1.0,1.0,2.0,11.0,56.0,4.0,18.0,483.0,3.0,,0
29.0,,3.0,1.0,23.0,44.0,0.0,13.0,309.0,,,0
59.0,1.0,1.0,,7.0,84.0,1.0,15.0,177.0,2.0,7.0,0
49.0,1.0,2.0,3.0,19.0,,4.0,8.0,313.0,1.0,13.0,1
27.0,1.0,3.0,,22.0,76.0,1.0,8.0,137.0,2.0,17.0,0
36.0,0.0,3.0,,19.0,24.0,0.0,,365.0,,6.0,0
45.0,0.0,3.0,2.0,6.0,57.0,3.0,13.0,,,15.0,0
,,,1.0,2.0,56.0,4.0,14.0,108.0,,13.0,1
,1.0,3.0,,21.0,16.0,1.0,19.0,409.0,3.0,,0
,0.0,1.0,3.0,9.0,23.0,3.0,16.0,,1.0,6.0,0
62.0,1.0,3.0,2.0,9.0,29.0,4.0,7.0,295.0,3.0,17.0,0
28.0,0.0,3.0,1.0,17.0,16.0,3.0,9.0,199.0,0.0,18.0,0
,,2.0,2.0,9.0,98.0,2.0,11.0,469.0,3.0,11.0,0
41.0,1.0,1.0,2.0,,72.0,4.0,5.0,320.0,2.0,19.0,1
19.0,0.0,2.0,,17.0,26.0,3.0,12.0,398.0,2.0,11.0,1
31.0,1.0,2.0,3.0,12.0,16.0,2.0,7.0,261.0,2.0,17.0,0
,1.0,1.0,2.0,9.0,39.0,2.0,11.0,200.0,0.0,5.0,0
38.0,0.0,1.0,3.0,7.0,39.0,2.0,15.0,270.0,3.0,7.0,0
61.0,,1.0,3.0,,97.0,1.0,13.0,375.0,,10.0,1
46.0,0.0,,,1.0,56.0,2.0,9.0,460.0,1.0,,0
57.0,,2.0,1.0,,37.0,3.0,17.0,345.0,3.0,,0
54.0,1.0,1.0,1.0,,84.0,1.0,17.0,332.0,,18.0,1
,,3.0,3.0,18.0,93.0,2.0,7.0,141.0,2.0,14.0,0
64.0,,2.0,3.0,21.0,82.0,3.0,6.0,204.0,3.0,16.0,0
24.0,1.0,3.0,,13.0,37.0,,,,,16.0,1
,,,,23.0,42.0,,,209.0,1.0,15.0,1
56.0,1.0,1.0,2.0,4.0,57.0,0.0,19.0,327.0,,,0
41.0,,3.0,2.0,,23.0,4.0,17.0,100.0,3.0,,0
24.0,1.0,3.0,1.0,22.0,18.0,1.0,5.0,274.0,0.0,14.0,0
52.0,0.0,,3.0,,51.0,4.0,12.0,,2.0,18.0,0
57.0,1.0,,1.0,21.0,66.0,2.0,12.0,218.0,0.0,15.0,1
40.0,,2.0,2.0,9.0,62.0,1.0,7.0,,2.0,8.0,0
47.0,0.0,2.0,2.0,2.0,25.0,,13.0,173.0,0.0,15.0,1
,,3.0,,,76.0,,,235.0,2.0,14.0,0
39.0,,3.0,1.0,14.0,49.0,2.0,10.0,308.0,,19.0,0
46.0,1.0,,1.0,7.0,63.0,3.0,,232.0,2.0,18.0,0
26.0,0.0,2.0,3.0,14.0,37.0,0.0,11.0,,2.0,15.0,0
,,3.0,1.0,16.0,25.0,4.0,17.0,291.0,,5.0,0
19.0,1.0,1.0,1.0,11.0,20.0,,17.0,498.0,0.0,12.0,0
46.0,1.0,3.0,3.0,14.0,94.0,3.0,14.0,426.0,1.0,11.0,0
38.0,1.0,2.0,1.0,14.0,,1.0,,,2.0,18.0,0
,1.0,3.0,3.0,7.0,53.0,,,297.0,1.0,11.0,1
29.0,0.0,1.0,3.0,15.0,96.0,3.0,11.0,235.0,,13.0,0
45.0,1.0,3.0,2.0,,21.0,2.0,5.0,238.0,,,1
53.0,0.0,2.0,3.0,5.0,50.0,1.0,19.0,,0.0,,0
44.0,1.0,2.0,1.0,18.0,57.0,,16.0,416.0,,19.0,1
,,3.0,,20.0,12.0,1.0,8.0,390.0,,9.0,0
48.0,,3.0,1.0,20.0,,4.0,,411.0,,,0
39.0,1.0,3.0,,8.0,,2.0,6.0,245.0,,,0
,0.0,,2.0,21.0,,1.0,17.0,210.0,2.0,14.0,0
20.0,0.0,2.0,2.0,,39.0,0.0,,335.0,,12.0,1
45.0,0.0,1.0,3.0,1.0,66.0,2.0,18.0,375.0,,10.0,1
32.0,0.0,,2.0,,37.0,,7.0,,3.0,,0
48.0,0.0,1.0,3.0,20.0,31.0,1.0,11.0,462.0,3.0,6.0,1
30.0,,2.0,2.0,12.0,95.0,,12.0,449.0,,11.0,1
27.0,0.0,2.0,3.0,,43.0,0.0,10.0,383.0,2.0,7.0,1
18.0,1.0,2.0,2.0,,49.0,0.0,12.0,255.0,0.0,9.0,1
28.0,0.0,2.0,,10.0,84.0,2.0,7.0,337.0,1.0,,0
,1.0,3.0,2.0,16.0,64.0,1.0,,322.0,2.0,,0
26.0,1.0,,1.0,17.0,56.0,,9.0,,0.0,18.0,1
,1.0,3.0,3.0,,85.0,2.0,11.0,375.0,1.0,,1
46.0,0.0,2.0,3.0,5.0,44.0,,,167.0,3.0,18.0,1
18.0,1.0,1.0,,,33.0,0.0,10.0,192.0,,18.0,0
42.0,,1.0,1.0,,10.0,2.0,12.0,435.0,0.0,,0
34.0,0.0,1.0,,,87.0,4.0,,433.0,2.0,6.0,0
63.0,1.0,1.0,3.0,11.0,44.0,4.0,18.0,414.0,3.0,,0
57.0,1.0,2.0,3.0,,25.0,0.0,16.0,,,,0
27.0,1.0,3.0,,,51.0,1.0,16.0,265.0,3.0,7.0,0
28.0,1.0,2.0,2.0,18.0,,,,459.0,,,0
63.0,1.0,1.0,2.0,23.0,25.0,2.0,7.0,208.0,,18.0,0
25.0,0.0,2.0,,,22.0,,14.0,499.0,1.0,9.0,0
64.0,1.0,,1.0,20.0,,0.0,6.0,,0.0,11.0,1
25.0,0.0,,1.0,21.0,88.0,0.0,11.0,,,,0
53.0,,3.0,2.0,19.0,,0.0,,194.0,1.0,,0
20.0,1.0,2.0,1.0,16.0,92.0,0.0,19.0,418.0,0.0,,1
23.0,0.0,1.0,2.0,4.0,,,19.0,,3.0,7.0,0
,,2.0,1.0,,33.0,4.0,12.0,484.0,1.0,,0
64.0,1.0,2.0,,,43.0,4.0,19.0,431.0,2.0,9.0,0
61.0,1.0,2.0,3.0,,41.0,0.0,17.0,,3.0,,0
57.0,0.0,3.0,3.0,,90.0,3.0,17.0,,3.0,,0
24.0,1.0,1.0,1.0,6.0,90.0,,17.0,365.0,2.0,,1
51.0,,3.0,3.0,3.0,35.0,2.0,19.0,304.0,,6.0,0
62.0,0.0,1.0,1.0,9.0,39.0,3.0,19.0,331.0,2.0,5.0,0
19.0,1.0,3.0,,8.0,70.0,0.0,8.0,324.0,3.0,7.0,0
22.0,0.0,1.0,3.0,11.0,41.0,,,,1.0,6.0,0
56.0,,1.0,2.0,22.0,47.0,2.0,11.0,106.0,1.0,8.0,1
40.0,0.0,2.0,1.0,17.0,10.0,0.0,,117.0,1.0,16.0,1
45.0,1.0,,,11.0,59.0,1.0,19.0,268.0,0.0,6.0,0
,1.0,3.0,2.0,17.0,43.0,,10.0,302.0,,16.0,0
,,3.0,3.0,18.0,92.0,,13.0,127.0,3.0,19.0,0
18.0,0.0,3.0,1.0,17.0,32.0,1.0,13.0,471.0,,,0
37.0,1.0,,,8.0,90.0,3.0,13.0,295.0,3.0,,1
,,2.0,2.0,,,0.0,5.0,439.0,,11.0,1
42.0,0.0,2.0,,18.0,33.0,,8.0,109.0,1.0,11.0,0
,,2.0,2.0,15.0,76.0,4.0,19.0,472.0,2.0,16.0,0
34.0,,3.0,1.0,23.0,,1.0,19.0,364.0,0.0,9.0,1
19.0,0.0,2.0,,4.0,,2.0,13.0,164.0,1.0,15.0,0
54.0,,2.0,3.0,,14.0,2.0,13.0,311.0,3.0,11.0,0
21.0,0.0,3.0,3.0,23.0,51.0,3.0,10.0,194.0,0.0,,1
45.0,0.0,2.0,,21.0,,4.0,5.0,171.0,2.0,17.0,1
43.0,,2.0,2.0,18.0,,3.0,,341.0,0.0,15.0,1
,0.0,2.0,2.0,4.0,14.0,2.0,6.0,,0.0,9.0,0
26.0,1.0,2.0,3.0,18.0,32.0,0.0,12.0,221.0,3.0,5.0,1
46.0,0.0,3.0,3.0,5.0,34.0,1.0,12.0,429.0,1.0,,1
38.0,0.0,3.0,3.0,20.0,54.0,4.0,14.0,,,,0
,0.0,1.0,1.0,,,3.0,,351.0,1.0,16.0,1
55.0,0.0,2.0,1.0,12.0,11.0,2.0,5.0,399.0,1.0,5.0,0
43.0,0.0,2.0,1.0,,59.0,,,,1.0,11.0,0
55.0,0.0,,1.0,19.0,71.0,1.0,11.0,256.0,2.0,,0
,0.0,3.0,2.0,16.0,57.0,,,,,,0
32.0,0.0,2.0,1.0,9.0,75.0,1.0,,315.0,0.0,11.0,1
26.0,,1.0,1.0,2.0,,2.0,19.0,241.0,,19.0,1
48.0,0.0,1.0,3.0,5.0,56.0,1.0,8.0,,3.0,12.0,1
,0.0,3.0,1.0,8.0,79.0,1.0,19.0,292.0,2.0,,0
20.0,1.0,2.0,3.0,9.0,,3.0,16.0,399.0,,11.0,0
25.0,1.0,1.0,2.0,,71.0,2.0,17.0,334.0,,13.0,0
,0.0,2.0,1.0,6.0,90.0,4.0,,103.0,2.0,5.0,0
40.0,0.0,3.0,,,34.0,2.0,7.0,470.0,1.0,8.0,0
25.0,1.0,3.0,2.0,23.0,76.0,4.0,7.0,461.0,2.0,8.0,0
,1.0,1.0,3.0,10.0,42.0,4.0,,126.0,0.0,,0
47.0,1.0,3.0,3.0,21.0,28.0,2.0,11.0,398.0,1.0,6.0,0
,,2.0,3.0,,27.0,2.0,13.0,130.0,0.0,5.0,1
61.0,1.0,3.0,1.0,22.0,,3.0,10.0,,3.0,11.0,0
,0.0,3.0,,13.0,55.0,2.0,7.0,456.0,1.0,18.0,0
61.0,1.0,3.0,1.0,,10.0,1.0,5.0,445.0,3.0,14.0,1
40.0,,2.0,1.0,23.0,,0.0,13.0,473.0,0.0,8.0,0
52.0,1.0,1.0,2.0,9.0,88.0,0.0,7.0,,,,0
21.0,1.0,1.0,2.0,19.0,93.0,4.0,16.0,294.0,,17.0,0
45.0,0.0,3.0,2.0,,,4.0,19.0,103.0,,,1
,1.0,1.0,,1.0,58.0,,9.0,340.0,1.0,,0
62.0,0.0,,3.0,13.0,51.0,,10.0,111.0,3.0,15.0,1
,,1.0,3.0,7.0,,3.0,,453.0,1.0,8.0,1
47.0,,,3.0,1.0,14.0,3.0,17.0,,0.0,16.0,0
,0.0,1.0,2.0,,,0.0,16.0,341.0,2.0,,1
35.0,,1.0,,22.0,67.0,1.0,9.0,,1.0,15.0,0
25.0,1.0,,1.0,3.0,16.0,4.0,,487.0,3.0,13.0,0
,0.0,1.0,3.0,6.0,97.0,,,241.0,0.0,14.0,1
62.0,1.0,3.0,3.0,2.0,77.0,1.0,,467.0,2.0,8.0,0
46.0,1.0,1.0,1.0,13.0,68.0,,13.0,206.0,1.0,7.0,0
